key_resp.keys,key_resp.corr,tilt,,hit ,miss,fa,cr,,,,,,,,,,
up,1,0, ,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,3,,,,1,,,,,,,Respond YES,Respond NO,,,
up,0,4,,,,1,,,,,,Signal Present,Hit,Miss,,prop hit = hit/hit+miss,0.969230769
up,0,1,,,,1,,,,,,Signal Absent,False Alarm,Correct Rejection,,prop fa = fa/fa+cr,0.771428571
up,1,0,,1,,,,,,,,,,,,,
up,0,-1,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,Respond YES,Respond NO,,d-prime = z(prop hit) - z(prop fa),1.12604689
up,1,0,,1,,,,,,,,Signal Present,63,2,,c = -((z(prop hit) +z(prop fa))/2),-1.306583202
up,1,0,,1,,,,,,,,Signal Absent,27,8,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,4,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,4,,,,1,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,,
up,0,-4,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,-5,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,,
up,1,0,,,,1,,,,,,,,,,,
up,0,-1,,,,1,,,,,,,,,,,
up,0,-1,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,-4,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,-5,,,,1,,,,,,,,,,,
up,0,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,,
up,0,0,,1,,,,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,,
up,0,4,,,,1,,,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,,
down,0,0,,,1, ,,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,0,-1,, ,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
down,1,2,,,,,1,,,,,,,,,,
up,1,0,,1,, ,,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,,
down,1,1,,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
down,0,0,,,1, ,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,
,,,,63,2,27,8,,,,,,,,,,
